last update,cowls,,robes,,sandals,,hoods,,jackets,,shoes,,`,,armors,,boots,
2025-02-07 13:18:31,item,price,item,price,item,price,item,price,item,price,item,price,item,price,item,price,item,price
,cultist cowl_4_1,48960,cultist robe_4_1,38703,cultist sandals_4_1,35700,specter hood_4_1,41820,specter jacket_4_1,27160,specter shoes_4_1,13260,judicator helmet_4_1,20740,judicator armor_4_1,32592,judicator boots_4_1,17680
,cultist cowl_4_2,60957,cultist robe_4_2,38517,cultist sandals_4_2,17193,specter hood_4_2,33344,specter jacket_4_2,27066,specter shoes_4_2,18756,judicator helmet_4_2,20840,judicator armor_4_2,32271,judicator boots_4_2,19277
,cultist cowl_5_0,145416,cultist robe_5_0,86652,cultist sandals_5_0,47808,specter hood_5_0,74700,specter jacket_5_0,44820,specter shoes_5_0,31872,judicator helmet_5_0,71214,judicator armor_5_0,200196,judicator boots_5_0,29880
,cultist cowl_5_1,160923,cultist robe_5_1,97776,cultist sandals_5_1,85554,specter hood_5_1,129010,specter jacket_5_1,59752,specter shoes_5_1,48888,judicator helmet_5_1,86233,judicator armor_5_1,161602,judicator boots_5_1,64505
,cultist cowl_5_2,130125,cultist robe_5_2,133248,cultist sandals_5_2,56214,specter hood_5_2,134289,specter jacket_5_2,95772,specter shoes_5_2,124920,judicator helmet_5_2,143658,judicator armor_5_2,264414,judicator boots_5_2,89526
,cultist cowl_6_0,172308,cultist robe_6_0,125496,cultist sandals_6_0,87648,specter hood_6_0,117528,specter jacket_6_0,105576,specter shoes_6_0,95616,judicator helmet_6_0,96612,judicator armor_6_0,280872,judicator boots_6_0,66732
,cultist cowl_6_1,186046,cultist robe_6_1,179256,cultist sandals_6_1,73332,specter hood_6_1,173824,specter jacket_6_1,160244,specter shoes_6_1,100492,judicator helmet_6_1,131726,judicator armor_6_1,298760,judicator boots_6_1,74690
,cultist cowl_6_2,287316,cultist robe_6_2,358190,cultist sandals_6_2,187380,specter hood_6_2,258168,specter jacket_6_2,333200,specter shoes_6_2,245676,judicator helmet_6_2,247758,judicator armor_6_2,641410,judicator boots_6_2,247758
,cultist cowl_7_0,292824,cultist robe_7_0,326688,cultist sandals_7_0,181272,specter hood_7_0,250992,specter jacket_7_0,318720,specter shoes_7_0,137448,judicator helmet_7_0,175296,judicator armor_7_0,474096,judicator boots_7_0,157368
,cultist cowl_7_1,410116,cultist robe_7_1,228144,cultist sandals_7_1,146664,specter hood_7_1,461720,specter jacket_7_1,445424,specter shoes_7_1,331352,judicator helmet_7_1,320488,judicator armor_7_1,293328,judicator boots_7_1,312340
,cultist cowl_7_2,341530,cultist robe_7_2,583030,cultist sandals_7_2,512295,specter hood_7_2,737205,specter jacket_7_2,674649,specter shoes_7_2,466480,judicator helmet_7_2,645575,judicator armor_7_2,1032796,judicator boots_7_2,595595
,cultist cowl_8_0,1147392,cultist robe_8_0,836535,cultist sandals_8_0,1059744,specter hood_8_0,1063728,specter jacket_8_0,756865,specter shoes_8_0,697200,judicator helmet_8_0,370512,judicator armor_8_0,1792575,judicator boots_8_0,326688
,cultist cowl_8_1,755048,cultist robe_8_1,1749104,cultist sandals_8_1,1759968,specter hood_8_1,1955520,specter jacket_8_1,1097264,specter shoes_8_1,1178744,judicator helmet_8_1,1032080,judicator armor_8_1,1336272,judicator boots_8_1,966896
,cultist cowl_8_2,2765228,cultist robe_8_2,3015098,cultist sandals_8_2,1207705,specter hood_8_2,1899012,specter jacket_8_2,2498700,specter shoes_8_2,1424259,judicator helmet_8_2,1615826,judicator armor_8_2,3314942,judicator boots_8_2,1365956
,feyscale hat_4_0,11454,feyscale robe_4_0,399894,feyscale sandals_4_0,58515,mistwalker hood_4_0,12948,mistwalker jacket_4_0,208662,mistwalker shoes_4_0,14940,duskweaver helmet_4_0,9213,duskweaver armor_4_0,30876,duskweaver boots_4_0,19422
,feyscale hat_4_1,18360,feyscale robe_4_1,399931,feyscale sandals_4_1,93500,mistwalker hood_4_1,28220,mistwalker jacket_4_1,200305,mistwalker shoes_4_1,36040,duskweaver helmet_4_1,21760,duskweaver armor_4_1,46851,duskweaver boots_4_1,27540
,feyscale hat_4_2,29697,feyscale robe_4_2,136371,feyscale sandals_4_2,67209,mistwalker hood_4_2,28134,mistwalker jacket_4_2,198831,mistwalker shoes_4_2,21882,duskweaver helmet_4_2,21882,duskweaver armor_4_2,33312,duskweaver boots_4_2,28655
,feyscale hat_5_0,70716,feyscale robe_5_0,1082652,feyscale sandals_5_0,218622,mistwalker hood_5_0,226590,mistwalker jacket_5_0,787836,mistwalker shoes_5_0,127986,duskweaver helmet_5_0,58266,duskweaver armor_5_0,235056,duskweaver boots_5_0,60258
,feyscale hat_5_1,106603,feyscale robe_5_1,903070,feyscale sandals_5_1,285859,mistwalker hood_5_1,234255,mistwalker jacket_5_1,793072,mistwalker shoes_5_1,149380,duskweaver helmet_5_1,40061,duskweaver armor_5_1,230860,duskweaver boots_5_1,74690
